"birthyr","draftnumber","conscripted","crimerate","argentine","indigenous","naturalized"
1958,49,0.0441176481544971,0.0920984148979187,1,0,0
1958,610,0.665338635444641,0.0644688904285431,1,0,0
1958,683,0.660792946815491,0.0644688904285431,0.995391726493835,0,0.00460829492658377
1958,288,0.676991164684296,0.0276295244693756,1,0,0
1958,39,0.0557939931750298,0.069073811173439,1,0,0
1958,810,0.689814805984497,0.0414442867040634,1,0,0
1958,30,0.0327868834137917,0.128937780857086,1,0,0
1958,340,0.648648619651794,0.0598639696836472,1,0,0
1958,799,0.706976771354675,0.0828885734081268,1,0,0
1958,466,0.741228044033051,0.0460492074489594,1,0,0
1958,613,0.710784316062927,0.0460492074489594,1,0,0
1958,969,0.686747014522552,0.101308256387711,0.995762705802917,0,0.00423728814348578
1958,382,0.681415915489197,0.0598639696836472,1,0,0
1958,571,0.694323122501373,0.110518097877502,0.995412826538086,0,0.00458715576678514
1958,767,0.699115037918091,0.0552590489387512,1,0,0
1958,150,0.0454545468091965,0.0598639696836472,0.995192289352417,0.0048076924867928,0
1958,986,0.736842095851898,0.0782836526632309,1,0,0
1958,162,0.0657894760370255,0.0506541281938553,1,0,0
1958,109,0.045045044273138,0.0644688904285431,1,0,0
1958,31,0.0458333343267441,0.0782836526632309,1,0,0
1958,53,0.0440528616309166,0.0874934941530228,1,0,0
1958,749,0.743243217468262,0.0967033356428146,0.995169103145599,0.00483091780915856,0
1958,14,0.0386473424732685,0.0644688904285431,1,0,0
1958,609,0.725000023841858,0.0414442867040634,1,0,0
1958,965,0.726872265338898,0.0552590489387512,1,0,0
1958,919,0.735537171363831,0.0552590489387512,1,0,0
1958,921,0.735426008701324,0.0598639696836472,1,0,0
1958,185,0.584033608436584,0.0920984148979187,0.995535731315613,0.00446428591385484,0
1958,12,0.0316742099821568,0.073678731918335,1,0,0
1958,776,0.724444448947906,0.0552590489387512,1,0,0
1958,887,0.729613721370697,0.069073811173439,1,0,0
1958,700,0.668269217014313,0.0460492074489594,0.99481862783432,0.00518134701997042,0
1958,287,0.700819671154022,0.0506541281938553,1,0,0
1958,395,0.684444427490234,0.0874934941530228,0.995260655879974,0.00473933666944504,0
1958,664,0.719298243522644,0.069073811173439,1,0,0
1958,424,0.69298243522644,0.0874934941530228,1,0,0
1958,785,0.698275864124298,0.0506541281938553,1,0,0
1958,531,0.684684693813324,0.0552590489387512,0.995192289352417,0.0048076924867928,0
1958,319,0.639999985694885,0.073678731918335,0.9915611743927,0.0042194090783596,0.0042194090783596
1958,695,0.696261703968048,0.0967033356428146,1,0,0
1958,425,0.697247684001923,0.0506541281938553,0.995238065719604,0.00476190494373441,0
1958,398,0.649769604206085,0.073678731918335,1,0,0
1958,359,0.715517222881317,0.0644688904285431,1,0,0
1958,656,0.690082669258118,0.0506541281938553,1,0,0
1958,675,0.657894730567932,0.0644688904285431,1,0,0
1958,257,0.673640191555023,0.0782836526632309,1,0,0
1958,8,0.0562770552933216,0.101308256387711,1,0,0
1958,913,0.681274890899658,0.0782836526632309,1,0,0
1958,210,0.597510397434235,0.0598639696836472,1,0,0
1958,678,0.694835662841797,0.073678731918335,1,0,0
1958,865,0.666666686534882,0.0414442867040634,1,0,0
1958,974,0.697560966014862,0.0644688904285431,1,0,0
1958,229,0.643478274345398,0.0552590489387512,0.995412826538086,0,0.00458715576678514
1958,996,0.684873938560486,0.0920984148979187,0.990783393383026,0.00921658985316753,0
1958,877,0.75,0.101308256387711,1,0,0
1958,930,0.683720946311951,0.073678731918335,0.990099012851715,0.00495049497112632,0.00495049497112632
1958,246,0.632411062717438,0.0598639696836472,0.995762705802917,0.00423728814348578,0
1958,549,0.685990333557129,0.0552590489387512,1,0,0
1958,124,0.0260869562625885,0.0644688904285431,1,0,0
1958,821,0.71848738193512,0.0644688904285431,1,0,0
1958,301,0.657024800777435,0.0644688904285431,1,0,0
1958,73,0.0352422893047333,0.0967033356428146,1,0,0
1958,846,0.63404256105423,0.073678731918335,1,0,0
1958,980,0.768888890743256,0.0506541281938553,1,0,0
1958,972,0.683333337306976,0.069073811173439,1,0,0
1958,868,0.717488765716553,0.0782836526632309,1,0,0
1958,449,0.68510639667511,0.0552590489387512,1,0,0
1958,578,0.67441862821579,0.0874934941530228,1,0,0
1958,654,0.714285731315613,0.0460492074489594,0.994897961616516,0.00510204071179032,0
1958,841,0.671999990940094,0.0506541281938553,1,0,0
1958,377,0.652719676494598,0.101308256387711,1,0,0
1958,772,0.719827592372894,0.0414442867040634,1,0,0
1958,233,0.613733887672424,0.0276295244693756,1,0,0
1958,795,0.683035731315613,0.0828885734081268,0.995370388031006,0.00462962966412306,0
1958,461,0.682027637958527,0.069073811173439,1,0,0
1958,901,0.710280358791351,0.0552590489387512,1,0,0
1958,933,0.69469028711319,0.0598639696836472,1,0,0
1958,941,0.675324678421021,0.0782836526632309,1,0,0
1958,313,0.625570774078369,0.0782836526632309,1,0,0
1958,539,0.665354311466217,0.073678731918335,1,0,0
1958,692,0.714285731315613,0.0644688904285431,1,0,0
1958,235,0.698630154132843,0.0644688904285431,1,0,0
1958,629,0.702127635478973,0.0874934941530228,1,0,0
1958,741,0.691629946231842,0.069073811173439,0.990654230117798,0.00467289704829454,0.00467289704829454
1958,441,0.716981112957001,0.0414442867040634,1,0,0
1958,435,0.745614051818848,0.0828885734081268,1,0,0
1958,640,0.731914877891541,0.0920984148979187,1,0,0
1958,756,0.680555582046509,0.0644688904285431,1,0,0
1958,93,0.0632911399006844,0.0506541281938553,1,0,0
